timestamp,symbol,timeframe,index,f_body_size_pct,f_upper_wick_pct,f_lower_wick_pct,f_range_pct,f_close_position_in_range,f_bullish_candle,f_bearish_candle,f_ema20_distance_pct,f_ema20_slope,f_ema50_distance_pct,f_ema50_slope,f_ema100_distance_pct,f_ema100_slope,f_ema200_distance_pct,f_ema200_slope,f_ema20_vs_50,f_ema50_vs_100,f_ema100_vs_200,f_ema_alignment,f_rsi,f_rsi_distance_from_50,f_macd,f_macd_signal,f_macd_histogram,f_macd_histogram_slope,f_adx,f_atr,f_atr_pct,f_bb_position,f_bb_width,f_atr_percentile,f_structure_bias,f_last_bos_direction,f_last_bos_age,f_last_choch_direction,f_last_choch_age,f_bullish_fvg_present,f_bearish_fvg_present,f_nearest_bullish_fvg_distance_pct,f_nearest_bearish_fvg_distance_pct,f_bullish_ob_present,f_bearish_ob_present,f_nearest_bullish_ob_distance_pct,f_nearest_bearish_ob_distance_pct,f_demand_present,f_supply_present,f_buy_side_liquidity_distance_pct,f_sell_side_liquidity_distance_pct,f_liquidity_sweep_direction,f_liquidity_sweep_age,f_premium_discount_state,f_distance_from_equilibrium_pct,f_htf_1d_bias,f_htf_4h_bias,f_htf_1h_bias,f_htf_30m_bias,f_entry_15m_bias,f_mtf_alignment_score,f_higher_timeframe_bias,f_setup_bias,f_entry_bias,f_market_state_code,f_strategy_score,f_strategy_direction,f_strategy_state_code,f_cond_htf_alignment,f_cond_structure_confirmation,f_cond_liquidity_confirmation,f_cond_ob_confirmation,f_cond_fvg_confirmation,f_cond_entry_confirmation,f_rr_candidate,f_volatility_filter_state,f_hour_utc,f_day_of_week,f_day_of_month,f_month,y_return_5,y_return_10,y_return_20,y_return_40,y_direction,y_mfe_5,y_mae_5,y_mfe_10,y_mae_10,y_mfe_20,y_mae_20,y_mfe_40,y_mae_40,y_strategy_outcome,y_future_R,y_multiclass_outcome
2026-08-10T17:15:00+00:00,PAXGUSD,15m,80,0.08048937540244688,0.002299696440078277,0.032195750160970385,0.11498482200349555,0.9799999999999273,1,0,0.2237323268690652,2.4795627871098986,0.3326650274425236,1.4952258158728,,,,,0.0010893270057345838,,,,59.448700412950224,9.448700412950224,4.411760008929377,3.0371758328090785,1.3745841761202988,-0.6022869196790868,16.065819514263556,8.029286656534655,0.18464921940333584,0.8040342057059219,0.009926146552076251,0.6764705882352942,1,1,5,1,12,1,0,0.4323429307331266,,1,0,0.2690644834881754,,1,0,-0.11498482200349555,-0.7841964860638271,1,13,1,0.05519271456166949,0,1,1,0,1,45,1,0,1,0,61,0,0,1,1,0,0,1,1,2.4862,0,17,0,10,8,0.004576395915739248,0.006347162174593038,0.007451016465826637,0.014442093643639083,UP,0.005427283598565073,0.0009888694692298944,0.00820991629104975,0.0009888694692298944,0.00820991629104975,0.0009888694692298944,0.01752368687333289,0.0009888694692298944,NO_SETUP,,NO_SETUP
2026-08-10T17:45:00+00:00,PAXGUSD,15m,82,0.009203018590110109,0.023007546475243883,0.05291735689304419,0.08512792195839818,0.6216216216214555,0,1,0.14437304890103805,2.4778280411474043,0.26422959813555125,1.5715637000821516,,,,,0.001198565492345132,,,,57.46896619002414,7.46896619002414,4.480155776612264,3.560741676756676,0.919414099855588,-0.4721502510801918,15.766555761093572,7.585456351807929,0.17452273955015485,0.7103310500101092,0.009462749271113981,0.5,1,1,7,1,14,1,0,0.3865267807840805,,1,0,0.22317320080986147,,1,0,-0.06902263942573164,-0.7385422418553161,1,15,1,0.009203018590089183,0,1,1,1,1,45,1,0,1,0,61,0,0,1,1,0,0,1,1,2.4511,0,17,0,10,8,0.005567826247009187,0.007454445057979144,0.009686177066077759,0.013942573163997876,UP,0.005889931897662517,2.300754647511833e-05,0.008673845021167111,2.300754647511833e-05,0.010031290263206417,2.300754647511833e-05,0.017991901343640884,2.300754647511833e-05,NO_SETUP,,NO_SETUP
2026-08-10T18:15:00+00:00,PAXGUSD,15m,84,0.05284926470588654,0.04365808823528576,0.036764705882340404,0.1332720588235127,0.6724137931034699,1,0,0.22811655397960184,2.6079272627093815,0.36445810826545755,1.6920124736252546,,,,,0.0013634155428585574,,,,61.65566141504013,11.655661415040129,4.94692059422141,4.014551259400041,0.9323693348213693,-0.24247994111343285,16.479712767558006,7.299704711507793,0.1677321854666313,0.7881405027405938,0.00956666491223913,0.3611111111111111,1,1,9,1,16,1,0,0.09306066176468916,,1,0,0.35156250000000416,,1,0,-0.19761029411765543,-0.866268382352937,1,17,1,0.1585477941176387,0,1,1,1,1,45,1,0,1,0,61,0,0,1,1,0,0,1,1,1.3828,0,18,0,10,8,0.005836397058823446,0.006227022058823613,0.007605698529411849,0.012293198529411764,UP,0.007100183823529328,0.00016084558823525232,0.007375919117647143,0.00016084558823525232,0.008938419117646975,0.00016084558823525232,0.01668198529411773,0.00016084558823525232,NO_SETUP,,NO_SETUP
2026-08-10T18:45:00+00:00,PAXGUSD,15m,86,0.00915750915750083,0.002289377289385618,0.12362637362636529,0.13507326007325174,0.9152542372881304,0,1,0.48531036412718953,5.77428966403204,0.6730767620810069,3.1086205110232186,,,,,0.0018776639795381736,,,,70.64774448409183,20.64774448409183,7.4632675534612645,5.08792389218754,2.3753436612737246,1.4924746655216388,20.59113744659286,8.088520899208211,0.1851767605130085,1.063322717636496,0.00932432831108939,0.7297297297297297,1,1,0,1,18,1,0,0.2232142857142857,,1,0,0.536858974358991,,1,0,-0.5631868131868215,-1.2293956043956002,1,19,1,0.5242673992673909,0,1,1,1,1,100,1,0,1,0,61,0,0,1,1,0,0,1,1,1.5,0,18,0,10,8,0.002152014652014569,0.002930402930402972,0.005563186813186855,0.007417582417582334,UP,0.003685897435897519,6.868131868136033e-05,0.003685897435897519,6.868131868136033e-05,0.005677655677655719,6.868131868136033e-05,0.012957875457875542,6.868131868136033e-05,NO_SETUP,,NO_SETUP
2026-08-10T19:15:00+00:00,PAXGUSD,15m,88,0.20777678836448743,0.02739913692718264,0.020549352695402555,0.2557252779870726,0.8928571428571573,1,0,0.6327951189427603,7.415234849694571,0.8740904327549658,4.017453997295888,,,,,0.0024129531381220553,,,,75.81612990631605,25.81612990631605,9.780200915736714,6.5577646184883776,3.2224362972483362,1.3042894273720673,25.086177742433556,7.999796081460164,0.18265625685458284,1.1186290560677379,0.011170780710129627,0.6710526315789473,1,1,0,1,20,1,0,0.24202570952347088,,1,0,0.8025663858255258,,1,0,-0.8288238920474047,-1.493252962531672,1,21,1,0.5616823070073168,0,1,1,1,1,100,1,0,1,0,61,0,0,1,1,0,0,1,1,1.1488,0,19,0,10,8,-0.00041098705390784344,-9.133045642387292e-05,0.00579948398292133,0.0012329611617235303,NEUTRAL,0.0010046350206636403,0.001506952530995149,0.0010046350206636403,0.001506952530995149,0.006301801493253046,0.001506952530995149,0.010251843733589184,0.001506952530995149,NO_SETUP,,NO_SETUP
2026-08-10T19:45:00+00:00,PAXGUSD,15m,90,0.020566727605110517,0.16453382084096727,0.027422303473487616,0.2125228519195654,0.12903225806449406,0,1,0.44646974346702495,7.394330568570695,0.7283047809867879,4.274474066709445,,,,,0.002818350375197629,,,,71.34239131392425,21.342391313924253,10.93805939538106,8.074102546704609,2.8639568486764517,0.2070302407214406,29.78291210401658,8.212069070238575,0.1876615418244647,0.9069801977883247,0.01266130803837413,0.7435897435897436,1,1,0,1,22,1,0,0.08912248628883995,,1,0,0.7186928702011135,,1,0,-0.7449725776965348,-1.409963436928698,1,23,1,0.4776051188299734,0,1,1,1,1,100,1,1,1,4,70,0,0,1,1,0,0,1,1,1.2765,0,19,0,10,8,0.0008912248628883995,0.0010968921389397125,0.005804387568555676,-0.0013025594149908178,NEUTRAL,0.0011654478976234836,0.0006398537477148496,0.0014168190127970333,0.0006398537477148496,0.007792504570383996,0.0006398537477148496,0.01110603290676425,0.0030850091407678246,NO_SETUP,,NO_SETUP
2026-08-10T20:15:00+00:00,PAXGUSD,15m,92,0.04795834475199515,0.013702384214840923,0.05252580615694212,0.1141865351237782,0.8800000000001091,1,0,0.4203433315506943,5.988102801029527,0.7321051650487562,3.9140377678468212,,,,,0.003117618334980619,,,,72.7656441803358,22.765644180335798,11.427680867782328,9.248429923915992,2.179250943866336,-1.0221439203221312,33.30704069046946,7.762957514644522,0.17728504418207092,0.8673953766161638,0.01321912793753999,0.5875,1,1,2,1,24,1,0,0.15300995706585863,,1,0,0.7821777655979014,,1,0,-0.8084406686763621,-1.4730063030967389,1,25,1,0.4030784689869495,0,1,1,1,1,100,1,1,1,4,70,0,0,1,1,0,0,1,1,2.5298,0,20,0,10,8,0.0006851192107426692,0.0022152187814012555,0.007125239791723718,-0.00440760025577788,UP,0.0006851192107426692,0.0006166072896683607,0.0025577783867725902,0.0006166072896683607,0.007422124783045583,0.0006166072896683607,0.010459486617338124,0.004795834475198685,NO_SETUP,,NO_SETUP
2026-08-10T20:45:00+00:00,PAXGUSD,15m,94,0.041104336507505695,0.0,0.02740289100499687,0.06850722751250256,1.0,1,0,0.35203620839997285,5.2274492316819305,0.683121164545747,3.751328212457338,,,,,0.0033108495614577417,,,,72.19052727410883,22.19052727410883,11.321186934765137,10.005161503594945,1.3160254311701927,-1.2020331338090031,36.05609311221126,7.040509285586348,0.16077525714385027,0.8046527955973496,0.013550523655984439,0.23170731707317074,1,1,4,1,26,1,0,0.15985019752917265,,1,0,0.7889749035190128,,1,0,-0.8152360073987971,-1.4797561142700595,1,27,1,0.4099015779498236,0,1,1,1,1,100,1,1,1,4,70,1,1,1,1,0,0,1,1,5.3337,0,20,0,10,8,0.00020552168253742462,0.0013701445502500513,0.009248475714187847,-0.0036308830581627603,NEUTRAL,0.000662236532620775,0.0001826859400333817,0.0026946176154916015,0.0001826859400333817,0.01034459135438772,0.0001826859400333817,0.010390262839396222,0.005343563745975325,NO_ENTRY,,NO_SETUP
2026-08-10T21:15:00+00:00,PAXGUSD,15m,96,0.022826880934989042,0.013696128560980968,0.014837472607755333,0.05136048210372535,0.7333333333335759,1,0,0.32159929964112394,4.6501341783168755,0.6669447312400157,3.6180465352208557,,,,,0.0034534543159889177,,,,73.2332070764734,23.233207076473406,11.05697666972901,10.407399716988811,0.6495769527401993,-1.0613239348054204,38.37183993822955,6.370643210531108,0.14542191404608995,0.7727259362593061,0.013930010688138036,0.11904761904761904,1,1,6,1,28,1,0,0.0382350255661108,,1,0,0.8274744338933736,,1,0,-0.8537253469686026,-1.5179875821767714,1,29,1,0.44854821037254716,0,1,1,1,1,100,1,1,1,4,70,0,0,1,1,0,0,1,1,2.2798,0,21,0,10,8,0.000844594594594553,0.00262509130752374,0.008765522279035709,-0.004747991234477762,UP,0.0008902483564644896,0.000570672023374726,0.002739225712198685,0.000570672023374726,0.009998173849525243,0.000570672023374726,0.009998173849525243,0.006094777209642033,NO_SETUP,,NO_SETUP
2026-08-10T21:45:00+00:00,PAXGUSD,15m,98,0.05708674902381659,0.0,0.0022834699609609707,0.05937021898477756,0.038461538461673,0,1,0.2303918970288042,3.9820826266941367,0.5821026979910875,3.4180429569642,,,,,0.003517108009622832,,,,69.39360037639122,19.39360037639122,10.444957864454409,10.492968239249006,-0.0480103747945968,-1.0073862756298535,40.01849985717924,5.751728074386568,0.13133898281429834,0.7027442154543991,0.012595750697541782,0.011627906976744186,1,1,8,1,30,1,0,0.003996072431671315,,1,0,0.7935058114310714,,1,0,-0.8197657159820188,-1.4842554746192314,1,31,1,0.41444979791292086,0,1,1,1,1,100,1,1,1,4,70,0,0,1,1,0,0,1,1,2.2386,0,21,0,10,8,0.0017354371703238998,0.0058913524992579135,0.004840956317219605,-0.005571666704724624,UP,0.002648825154704965,0.00022834699609526637,0.006393715890667458,0.00022834699609526637,0.010344118923115608,0.00022834699609526637,0.010344118923115608,0.0058913524992579135,NO_SETUP,,NO_SETUP
